ID,Name,Age,Country,Score
942,Wendy,28,Greece,97
943,Carl,20,Greece,28
944,Victor,51,Denmark,91
945,Oscar,40,Germany,11
946,Nora,61,Denmark,44
947,Kevin,59,South Korea,55
948,Ivan,24,Australia,87
949,Mike,46,Spain,74
950,Quinn,64,Australia,89
951,Irene,23,Spain,44
952,Ivan,45,Thailand,45
953,Charlie,51,Vietnam,39
954,Frank,31,Mexico,68
955,Julia,21,Italy,36
956,Paula,53,Ireland,50
957,Bella,51,China,57
958,Aaron,55,Egypt,11
959,Zack,62,Germany,10
960,Bob,62,Mexico,25
961,Aaron,45,Japan,14
962,Frank,31,Philippines,5
963,Paula,59,Japan,70
964,Hannah,35,Canada,53
965,Julia,48,Austria,97
966,Wendy,23,Portugal,2
967,Charlie,44,China,18
968,Carl,18,Turkey,0
969,Carl,63,Australia,63
970,Alice,30,UK,38
971,Tina,22,Thailand,60
972,George,48,Mexico,69
973,Kevin,45,South Africa,60
974,Charlie,35,Ireland,61
975,Nina,64,Russia,89
976,Henry,25,Ireland,62
977,Nora,62,France,81
978,Mike,37,Canada,39
979,Rachel,21,Sweden,28
980,Paula,54,South Korea,33
981,Fiona,25,Australia,74
982,Kyle,24,Greece,98
983,Henry,56,Netherlands,95
984,Fiona,61,Italy,32
985,Paula,32,Ireland,83
986,Ivan,29,Philippines,31
987,Eve,42,Germany,70
988,David,48,Mexico,3
989,Jack,41,Australia,65
990,Henry,27,UK,88
991,Tina,26,China,33
992,Rachel,59,Brazil,2
993,Wendy,28,Portugal,71
994,Fiona,49,France,6
995,George,44,Indonesia,4
996,Wendy,39,South Korea,26
997,Mike,31,Argentina,26
998,Victor,53,Indonesia,88
999,Ivan,61,Philippines,29
1000,George,50,Portugal,34
